School Name,STAR Location Code,Area,Begin,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Lunch,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Dismiss,Min.,After
Adrienne Clarkson,201227,Central,07:50,00:15,08:05,02:00,10:05,00:30,10:35,01:20,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Aldergrove,301422,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Alexander Muir,101144,North,07:45,00:15,08:00,01:40,09:40,00:30,10:10,01:40,11:50,01:00,12:50,01:40,,00:00,,00:00,14:30,00:15,14:45
Anne Frank,401357,West,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Armadale,301423,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Armitage Village,101123,North,08:30,15:00,08:45,01:40,10:25,00:20,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Ashton Meadows,301426,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Aurora Grove,201223,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Aurora Heights,201222,Central,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Bakersfield,401330,West,08:40,00:15,08:55,02:00,10:55,00:20,11:15,01:20,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Ballantrae,101230,North,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Barbara Reid,101152,North,08:55,00:15,09:10,02:00,11:10,00:30,11:40,01:20,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Baythorn,401424,West,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Bayview Fairways,401428,West,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Bayview Glen,401432,West,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Bayview Hill,201329,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Beckett Farm,301478,East,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Beverley Acres,201323,Central,07:45,00:15,08:00,01:50,09:50,00:20,10:10,01:20,11:30,01:00,12:30,01:50,,00:00,,00:00,14:20,00:15,14:35
Beynon Fields,201249,Central,08:25,00:15,08:40,01:40,10:20,00:30,10:50,01:40,12:30,01:00,13:30,01:40,,00:00,,00:00,15:10,00:15,15:25
Black River,101126,North,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Black Walnut,301476,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Blue Willow,401325,West,08:10,00:15,08:25,01:40,10:05,00:20,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Bogart,101128,North,08:05,00:15,08:20,01:40,10:00,00:30,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Bond Lake,201248,Central,07:50,00:15,08:05,01:40,09:45,00:20,10:05,01:40,11:45,01:00,12:45,01:40,,00:00,,00:00,14:25,00:15,14:40
Boxwood,301427,East,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Brownridge,401221,West,08:25,00:15,08:40,01:40,10:20,00:20,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Burrlington Outdoor,401352,West,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Buttonville,301421,East,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Carrville Mills,401349,West,08:40,00:15,08:55,01:40,10:35,00:20,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Castlemore,301435,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Cedarwood,301443,East,07:45,00:15,08:00,01:40,09:40,00:30,10:10,01:40,11:50,01:00,12:50,01:40,,00:00,,00:00,14:30,00:15,14:45
Central Park,301431,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Charles Howitt,201327,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Charlton,401233,West,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Clearmeadow,101136,North,08:45,00:15,09:00,01:40,10:40,00:20,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Coledale,301430,East,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Coppard Glen,301437,East,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Cornell Village,301445,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Crosby Heights,201331,Central,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Crossland,101127,North,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
David Suzuki,301469,East,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
Deer Park,101129,North,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Denne,101131,North,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Devins Drive,201234,Central,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Discovery,401328,West,08:10,00:15,08:25,01:40,10:05,00:20,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Donald Cousens,301470,East,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Doncrest,201333,Central,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Dr. Roberta Bondar,401350,West,08:00,00:15,08:15,01:40,09:55,00:20,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
E.J. Sand,401468,West,08:45,00:15,09:00,01:40,10:40,00:20,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Edward T. Crowle,301433,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Elder's Mills,401324,West,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Ellen Fairclough,301459,East,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
Fairwood,101138,North,08:05,00:15,08:20,01:40,10:00,00:30,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
Forest Run,401334,West,08:20,00:15,08:35,01:40,10:15,00:20,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Fossil Hill,401340,West,08:25,00:15,08:40,01:40,10:20,00:20,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Franklin Street,301436,East,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Fred Varley,301477,East,07:45,00:15,08:00,01:40,09:40,00:30,10:10,01:40,11:50,01:00,12:50,01:40,,00:00,,00:00,14:30,00:15,14:45
German Mills,401440,West,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Giant Steps Program,401344,West,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,,,00:00,15:15,00:15,15:30
Glad Park,101438,North,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
Glen Cedar,101132,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Glen Shields,401337,West,08:45,00:15,09:00,01:40,10:40,00:20,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Glenn Gould,401358,West,08:50,00:15,09:05,01:40,10:45,00:20,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
Greensborough,301447,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
H.G. Bernard,201322,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Harry Bowes,101473,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Hartman,201245,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Henderson Avenue,401444,West,08:45,00:15,09:00,01:40,10:40,00:20,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Herbert H. Carnegie,401353,West,08:00,00:15,08:15,01:40,09:55,00:20,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Highgate,301446,East,08:15,00:15,08:30,01:40,10:10,00:20,10:30,01:40,12:10,01:00,13:10,01:40,,00:00,,00:00,14:50,00:15,15:05
